Date : 2021-04-29 14:09:33
Directory : e:\wx-miniapp\Mutual Assistance Platform
Total : 136 files,  7089 codes, 679 comments, 885 blanks, all 8653 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         39 |      5,291 |        586 |        492 |      6,369 |
| Java       |         49 |      1,019 |         31 |        346 |      1,396 |
| XML        |          4 |        347 |         11 |          5 |        363 |
| JSON       |         41 |        329 |          0 |          4 |        333 |
| Batch      |          1 |         96 |         51 |         36 |        183 |
| Properties |          2 |          7 |          0 |          2 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |        136 |      7,089 |        679 |        885 |      8,653 |
| back-end                                                                                                                                          |         54 |      1,207 |         92 |        388 |      1,687 |
| back-end\.mvn                                                                                                                                     |          2 |         78 |         31 |         12 |        121 |
| back-end\.mvn\wrapper                                                                                                                             |          2 |         78 |         31 |         12 |        121 |
| back-end\src                                                                                                                                      |         50 |        958 |          7 |        336 |      1,301 |
| back-end\src\main                                                                                                                                 |         49 |        949 |          7 |        331 |      1,287 |
| back-end\src\main\java                                                                                                                            |         47 |        934 |          0 |        330 |      1,264 |
| back-end\src\main\java\cn                                                                                                                         |         47 |        934 |          0 |        330 |      1,264 |
| back-end\src\main\java\cn\iwannnn                                                                                                                 |         47 |        934 |          0 |        330 |      1,264 |
| back-end\src\main\java\cn\iwannnn\mutualassistanceplatform                                                                                        |         47 |        934 |          0 |        330 |      1,264 |
| back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\config                                                                                 |          1 |         11 |          0 |          3 |         14 |
| back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\controller                                                                             |          8 |        218 |          0 |         70 |        288 |
| back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\entity                                                                                 |         10 |        187 |          0 |         42 |        229 |
| back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\mapper                                                                                 |          9 |        117 |          0 |         65 |        182 |
| back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service                                                                                |         18 |        390 |          0 |        145 |        535 |
| back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\Impl                                                                           |          9 |        325 |          0 |         91 |        416 |
| back-end\src\main\resources                                                                                                                       |          2 |         15 |          7 |          1 |         23 |
| back-end\src\test                                                                                                                                 |          1 |          9 |          0 |          5 |         14 |
| back-end\src\test\java                                                                                                                            |          1 |          9 |          0 |          5 |         14 |
| back-end\src\test\java\cn                                                                                                                         |          1 |          9 |          0 |          5 |         14 |
| back-end\src\test\java\cn\iwannnn                                                                                                                 |          1 |          9 |          0 |          5 |         14 |
| back-end\src\test\java\cn\iwannnn\mutualassistanceplatform                                                                                        |          1 |          9 |          0 |          5 |         14 |
| front-end                                                                                                                                         |         82 |      5,882 |        587 |        497 |      6,966 |
| front-end\miniprogram_npm                                                                                                                         |         48 |      4,669 |        512 |        450 |      5,631 |
| front-end\miniprogram_npm\@miniprogram-component-plus                                                                                             |          2 |        253 |         21 |         17 |        291 |
| front-end\miniprogram_npm\@miniprogram-component-plus\emoji                                                                                       |          2 |        253 |         21 |         17 |        291 |
| front-end\miniprogram_npm\weui-miniprogram                                                                                                        |         46 |      4,416 |        491 |        433 |      5,340 |
| front-end\miniprogram_npm\weui-miniprogram\actionsheet                                                                                            |          2 |        157 |         31 |          9 |        197 |
| front-end\miniprogram_npm\weui-miniprogram\badge                                                                                                  |          2 |         95 |         17 |          6 |        118 |
| front-end\miniprogram_npm\weui-miniprogram\cell                                                                                                   |          2 |        204 |         22 |         11 |        237 |
| front-end\miniprogram_npm\weui-miniprogram\cells                                                                                                  |          2 |        155 |         17 |         15 |        187 |
| front-end\miniprogram_npm\weui-miniprogram\checkbox                                                                                               |          2 |        159 |         17 |         16 |        192 |
| front-end\miniprogram_npm\weui-miniprogram\checkbox-group                                                                                         |          2 |        193 |         17 |         22 |        232 |
| front-end\miniprogram_npm\weui-miniprogram\dialog                                                                                                 |          2 |        152 |         22 |         12 |        186 |
| front-end\miniprogram_npm\weui-miniprogram\form                                                                                                   |          2 |        577 |         34 |        138 |        749 |
| front-end\miniprogram_npm\weui-miniprogram\form-page                                                                                              |          2 |        113 |         19 |         10 |        142 |
| front-end\miniprogram_npm\weui-miniprogram\gallery                                                                                                |          2 |        161 |         19 |         16 |        196 |
| front-end\miniprogram_npm\weui-miniprogram\grids                                                                                                  |          2 |        127 |         17 |          9 |        153 |
| front-end\miniprogram_npm\weui-miniprogram\half-screen-dialog                                                                                     |          2 |        153 |         24 |         12 |        189 |
| front-end\miniprogram_npm\weui-miniprogram\icon                                                                                                   |          2 |        515 |         21 |         37 |        573 |
| front-end\miniprogram_npm\weui-miniprogram\loading                                                                                                |          2 |        111 |         20 |          7 |        138 |
| front-end\miniprogram_npm\weui-miniprogram\msg                                                                                                    |          2 |        113 |         22 |          6 |        141 |
| front-end\miniprogram_npm\weui-miniprogram\navigation-bar                                                                                         |          2 |        169 |         30 |         16 |        215 |
| front-end\miniprogram_npm\weui-miniprogram\searchbar                                                                                              |          2 |        198 |         32 |         20 |        250 |
| front-end\miniprogram_npm\weui-miniprogram\slideview                                                                                              |          3 |        422 |         31 |         19 |        472 |
| front-end\miniprogram_npm\weui-miniprogram\static                                                                                                 |          1 |         19 |          1 |          1 |         21 |
| front-end\miniprogram_npm\weui-miniprogram\static\icon                                                                                            |          1 |         19 |          1 |          1 |         21 |
| front-end\miniprogram_npm\weui-miniprogram\tabbar                                                                                                 |          2 |        118 |         17 |          9 |        144 |
| front-end\miniprogram_npm\weui-miniprogram\toptips                                                                                                |          2 |        148 |         18 |         12 |        178 |
| front-end\miniprogram_npm\weui-miniprogram\uploader                                                                                               |          2 |        273 |         26 |         24 |        323 |
| front-end\pages                                                                                                                                   |         26 |        944 |         68 |         35 |      1,047 |
| front-end\pages\about                                                                                                                             |          2 |         23 |         28 |         18 |         69 |
| front-end\pages\detail                                                                                                                            |          2 |         58 |          4 |          1 |         63 |
| front-end\pages\index                                                                                                                             |          2 |        137 |          4 |          2 |        143 |
| front-end\pages\logs                                                                                                                              |          2 |         17 |          1 |          2 |         20 |
| front-end\pages\message                                                                                                                           |          4 |        164 |         16 |          5 |        185 |
